value;label
AALR3;Alliar ON NM
ABCB4;Abc Brasil PN N2
ABCP11;Fii Abc Imob CI ER
ABEV3;Ambev S/A ON
AERI3;Aeris ON NM
AESB3;Aes Brasil ON NM
AFLT3;Afluente T ON
AGRO3;Brasilagro ON ED NM
AGXY3;Agrogalaxy ON NM
AHEB3;Spturis ON
AHEB5;Spturis PNA
AHEB6;Spturis PNB
ALLD3;Allied ON NM
ALMI11;Fii Torre Al CI
ALPA3;Alpargatas ON EDJ N1
ALPA4;Alpargatas PN EDJ N1
ALPK3;Estapar ON NM
ALSO3;Alianscsonae ON NM
ALUP3;Alupar ON N2
ALUP4;Alupar PN N2
ALZR11;Fii Alianza CI
AMAR3;Lojas Marisa ON NM
AMBP3;Ambipar ON NM
AMER3;Americanas ON NM
ANIM3;Anima ON NM
APER3;Alper S.A. ON NM
APTI4;Aliperti PN
ARML3;Armac ON NM
ARRI11;Fii Atrio CI ER
ARZZ3;Arezzo Co ON NM
ASAI3;Assai ON NM
ATMP3;Atmasa ON NM
ATOM3;Atompar ON
ATSA11;Fii Hatrium CI
AVLL3;Alphaville ON NM
AZEV3;Azevedo ON
AZEV4;Azevedo PN
AZUL4;Azul PN N2
B3SA3;B3 ON NM
B5MB11;Brad Ima-B5m F11
B5P211;It Now B5p2 F11
BAHI3;Bahema ON MA
BALM3;Baumer ON
BALM4;Baumer PN
BARI11;Fii Barigui CI ER
BAUH4;Excelsior PN
BAZA3;Amazonia ON
BBAS11;Brasil ON SJ1 NM
BBAS3;Brasil ON NM
BBDC3;Bradesco ON EJ N1
BBDC4;Bradesco PN EJ N1
BBRK3;Br Brokers ON NM
BBSE3;Bbseguridade ON NM
BBVH11;Fdc Infra FIDC
BCFF11;Fii Bc Ffii CI
BDIV11;Fip Btgdv Ie CI
BDLL3;Bardella ON
BDLL4;Bardella PN
BEEF11;Minerva BNS ORD NM
BEEF3;Minerva ON NM
BEES3;Banestes ON EJ
BEES4;Banestes PN EJ
BGIP3;Banese ON
BGIP4;Banese PN
BIDI11;Banco Inter UNT N2
BIDI3;Banco Inter ON N2
BIDI4;Banco Inter PN N2
BIOM3;Biomm ON MA
BKBR3;Bk Brasil ON NM
BKOI11;Fip Bko Brei CI
BLAU3;Blau ON NM
BMEB4;Merc Brasil PN N1
BMGB4;Banco Bmg PN N1
BMIN3;Merc Invest ON
BMIN4;Merc Invest PN
BMKS3;Bic Monark ON
BMOB3;Bemobi Tech ON NM
BNBR3;Nord Brasil ON EDJ
BOAS3;Boa Vista ON NM
BOBR3;Bombril ON
BOBR4;Bombril PN
BOVA11;Ishares Bova CI
BPAC11;Btgp Banco UNT N2
BPAC3;Btgp Banco ON N2
BPAC5;Btgp Banco PNA N2
BPAN4;Banco Pan PN N1
BPAR3;Banpara ON
BRAP3;Bradespar ON N1
BRAP4;Bradespar PN N1
BRCR11;Fii Bc Fund CI
BRDT3;Petrobras Br ON NM
BRFS3;Brf Sa ON NM
BRGE3;Alfa Consorc ON
BRGE5;Alfa Consorc PNA
BRGE6;Alfa Consorc PNB
BRGE7;Alfa Consorc PNC
BRGE8;Alfa Consorc PND
BRIT3;Brisanet ON NM
BRIV3;Alfa Invest ON
BRIV4;Alfa Invest PN
BRKM3;Braskem ON N1
BRKM5;Braskem PNA N1
BRKM6;Braskem PNB N1
BRML3;Br Malls Par ON NM
BRPR3;Br Propert ON NM
BRSR3;Banrisul ON N1
BRSR5;Banrisul PNA N1
BRSR6;Banrisul PNB N1
BRZP11;Fip Brz Ie CI EA
BSLI3;Brb Banco ON
BSLI4;Brb Banco PN
CALI3;Const A Lind ON
CALI4;Const A Lind PN
CAMB3;Cambuci ON
CAML3;Camil ON NM
CARD3;Csu Cardsyst ON NM
CASH3;Meliuz ON NM
CASN3;Casan ON
CASN4;Casan PN
CBAV3;Cba ON NM
CBEE3;Ampla Energ ON
CCPR3;Cyre Com-Ccp ON NM
CCRO3;Ccr Sa ON NM
CEAB3;Cea Modas ON NM
CEBR3;Ceb ON
CEBR5;Ceb PNA
CEBR6;Ceb PNB
CEDO3;Cedro ON N1
CEDO4;Cedro PN N1
CEEB3;Coelba ON
CEEB5;Coelba PNA
CEED3;Ceee-D ON
CEED4;Ceee-D PN
CEGR3;Ceg ON
CEPE3;Celpe ON
CEPE5;Celpe PNA
CEPE6;Celpe PNB
CESP3;Cesp ON N1
CESP5;Cesp PNA N1
CESP6;Cesp PNB N1
CGAS3;Comgas ON
CGAS5;Comgas PNA
CGRA3;Grazziotin ON
CGRA4;Grazziotin PN
CIEL3;Cielo ON NM
CLSA3;Clearsale ON NM
CLSC3;Celesc ON N2
CLSC4;Celesc PN N2
CMIG3;Cemig ON N1
CMIG4;Cemig PN N1
CMIN3;Csnmineracao ON N2
CNES11;Fii Cenesp CI
COCE3;Coelce ON EJ
COCE5;Coelce PNA EJ
COCE6;Coelce PNB EJ
COGN3;Cogna On ON NM
CORR3;Cor Ribeiro ON
CORR4;Cor Ribeiro PN
CPFE3;Cpfl Energia ON NM
CPLE3;Copel ON N1
CPLE5;Copel PNA N1
CPLE6;Copel PNB N1
CRDE3;Cr2 ON
CRFB3;Carrefour Br ON NM
CRIV3;Alfa Financ ON
CRIV4;Alfa Financ PN
CRPG3;Cristal ON
CRPG5;Cristal PNA
CRPG6;Cristal PNB
CSAB3;Seg Al Bahia ON
CSAB4;Seg Al Bahia PN
CSAN3;Cosan ON NM
CSED3;Cruzeiro Edu ON NM
CSMG3;Copasa ON NM
CSNA3;Sid Nacional ON
CSRN3;Cosern ON
CSRN5;Cosern PNA
CTKA3;Karsten ON
CTKA4;Karsten PN
CTNM3;Coteminas ON
CTNM4;Coteminas PN
CTSA3;Santanense ON
CTSA4;Santanense PN
CURY3;Cury S/A ON NM
CVCB3;Cvc Brasil ON NM
CXSE3;Caixa Seguri ON ED NM
CYRE3;Cyrela Realt ON NM
DASA3;Dasa ON NM
DESK3;Desktop ON NM
DEXP3;Dexxos Par ON N1
DEXP4;Dexxos Par PN N1
DIRR3;Direcional ON NM
DMAC11;Fii Mac CI
DMMO11;Dommo BNS ORD
DMMO3;Dommo ON
DMVF3;D1000vfarma ON NM
DOHL3;Dohler ON
DOHL4;Dohler PN
DOTZ3;Dotz Sa ON NM
DRIT11B;Fii Mtgestao CI MB
DTCY3;Dtcom-Direct ON
DTEX3;Duratex ON NM
DXCO3;Dexco ON NM
EALT3;Aco Altona ON
EALT4;Aco Altona PN
ECOR3;Ecorodovias ON ATZ NM
ECPR3;Encorpar ON
ECPR4;Encorpar PN
EEEL3;Ceee-T ON N1
EEEL4;Ceee-T PN N1
EGIE3;Engie Brasil ON NM
EKTR3;Elektro ON
EKTR4;Elektro PN
ELET3;Eletrobras ON N1
ELET5;Eletrobras PNA N1
ELET6;Eletrobras PNB N1
ELMD3;Eletromidia ON NM
EMAE3;Emae ON
EMAE4;Emae PN
EMBR3;Embraer ON NM
ENAT3;Enauta Part ON NM
ENBR3;Energias Br ON NM
ENDD11;Fip End Debt CI
ENEV3;Eneva ON NM
ENGI11;Energisa UNT N2
ENGI3;Energisa ON N2
ENGI4;Energisa PN N2
ENJU3;Enjoei ON NM
ENMT3;Energisa Mt ON
ENMT4;Energisa Mt PN
EPAR3;Embpar S/A ON
EQPA3;Eqtl Para ON
EQPA5;Eqtl Para PNA
EQPA6;Eqtl Para PNB
EQPA7;Eqtl Para PNC
EQTL3;Equatorial ON NM
ESPA3;Espacolaser ON NM
ESTR3;Estrela ON
ESTR4;Estrela PN
ESUD11;Fip Ie Ii CI
ESUT11;Fip Ie Iii CI
ESUU11;Fip Ie I CI
ETER3;Eternit ON NM
EUCA3;Eucatex ON N1
EUCA4;Eucatex PN N1
EVEN3;Even ON NM
EZTC3;Eztec ON NM
FCCQ11;Fip Conquest CI
FDES11;Fundes CI
FESA3;Ferbasa ON N1
FESA4;Ferbasa PN N1
FHER3;Fer Heringer ON NM
FIGE3;Invest Bemge ON
FIGE4;Invest Bemge PN
FIQE3;Unifique ON NM
FIXA11;Mirae Fixa F11
FLMA11;Fii S F Lima CI
FLRY3;Fleury ON NM
FNAM11;Finam CI *
FNCN3;Finansinos ON
FNOR11;Finor CI *
FPOR11;Fip Port Sud CI
FRAS3;Fras-Le ON N1
FRIO3;Metalfrio ON NM
FRTA3;Pomifrutas ON NM
FSPE11;Fiset Pesca CI
FSRF11;Fiset Fl Ref CI
